name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,draft_Team,draft_College
Doug Williams,TAM,1978,23,76,220,53.4,73,16,69,8,5.51,10,56,4.41,3.6,37.6,10,4.1,4.9,5,1,1,6,4,7,6,1170,NA,117,194,3,181,181,9.3,9.2,155.2,51.4,352,352,1,38,38,18,18,3286,3286,1978,1,1,17,17,Buccaneers,Grambling State
Drew Bledsoe,NWE,1993,21,77,238,65,214,11.7,99,15,5.38,13,54,4.54,3.5,49.9,12,3.5,4.9,6,2,2,16,5,15,5.8,2494,NA,191.8,429,3.6,532,177.33,7.5,6.9,126.2,54.3,326.33,979,3,46,15.33,34,11.33,7373,2457.67,1993,1,1,1,1,Patriots,Washington State
Drew Brees,SDG,2002,23,72,209,76.9,320,10.3,180,16,5.64,16,52,4.95,3.2,60.8,16,3,5.5,10,2,4,24,8,17,6.2,3284,NA,205.3,526,4.4,1003,250.75,7,6.9,132.4,61.2,409.75,1639,4,88,22,45,11.25,11517,2879.25,2001,2,2,1,32,Chargers,Purdue
Eli Manning,NYG,2004,23,76,218,55.4,95,11,83,9,4.57,9,52,3.21,3,48.2,7,4.6,3.8,0,1,1,13,1,6,5.3,1043,NA,115.9,197,6.2,829,207.25,7.4,7.5,137.7,60.8,340.75,1363,4,81,20.25,35,8.75,10119,2529.75,2004,1,1,1,1,Chargers,Mississippi
Eric Hipple,DET,1981,24,74,196,73.4,140,NA,208,15,7.03,16,94,5.74,5,50.2,10,5.4,7,10,2,2,27,6,14,NA,2358,NA,147.4,279,8.8,385,128.33,7.6,6.5,124.9,55.1,233,699,3,32,10.67,32,10.67,5313,1771,1980,4,4,2,85,Lions,Utah State
Fran Tarkenton,MIN,1961,21,72,190,74.7,157,12.7,NA,17,NA,14,71,NA,6.4,56.1,10,6.1,5.7,11,NA,NA,NA,2,18,7.1,1997,NA,142.6,280,NA,186,62,6.6,4.9,120.4,58.7,105.67,317,3,18,6,20,6.67,2100,700,1961,2,3,1,29,Vikings,Georgia
Frank Reich,NYJ,1996,35,76,210,68.9,175,12.6,94,16,6.12,11,52,4.9,4.5,52.9,7,4.8,5.4,5,NA,NA,14,1,15,6.7,2205,NA,200.5,331,4.1,132,44,8.1,7.6,140.1,62.9,70,210,3,10,3.33,7,2.33,1704,568,1985,2,3,1,57,Bills,Maryland
Frank Ryan,CLE,1962,26,75,199,85.4,112,13.8,NA,7,NA,11,65,NA,5.2,57.7,7,3.6,7.4,10,1,0,NA,3,10,7.9,1541,NA,140.1,194,NA,81,40.5,7,5.3,121.1,56.6,71.5,143,2,8,4,9,4.5,997,498.5,1958,5,5,6,55,Rams,Rice
Gary Hogeboom,DAL,1984,26,76,205,63.7,195,12.1,211,14,5.48,16,68,4.24,1.9,53.1,10,3.8,5.1,5,1,2,26,6,7,6.4,2366,NA,147.9,367,6.6,198,66,8.1,7,129.3,54.2,121.67,365,3,18,6,17,5.67,2957,985.67,1980,8,5,23,133,Cowboys,Central Michigan
Gifford Nielsen,HOU,1983,29,76,205,62.2,90,12.5,163,8,4.88,7,48,3.56,2.9,51.4,7,4.6,4.9,3,NA,NA,22,0,5,6.4,1125,NA,160.7,175,11.2,98,49,7.5,8.7,155.7,62.8,78,156,2,16,8,3,1.5,1167,583.5,1978,5,3,17,73,Oilers,Brigham Young
Gus Frerotte,WAS,1995,24,75,237,70.2,199,NA,192,13,6.11,16,73,5.33,3.3,50.3,11,3.3,6.1,8,1,0,23,3,13,6.9,2751,NA,171.9,396,5.5,432,108,6.4,5.1,107.2,50.2,215,860,4,32,8,38,9.5,5480,1370,1994,6,7,3,197,Redskins,Tulsa
Heath Shuler,WAS,1994,23,74,216,59.6,120,NA,83,12,5.69,11,81,4.46,3.8,45.3,8,4.5,5,4,NA,NA,12,1,10,6.3,1658,NA,150.7,265,4.3,316,105.33,8,8.3,147,61.6,171,513,3,36,12,12,4,4089,1363,1994,1,1,3,3,Redskins,Tennessee
Hugh Millen,NWE,1991,28,77,216,72.5,246,12.5,379,18,5.82,13,60,4.46,2.2,60.1,13,4.4,6,8,3,4,54,5,9,7.5,3073,NA,236.4,409,11.7,247,123.5,6,4.1,105.1,56.8,217.5,435,2,11,5.5,23,11.5,2616,1308,1986,5,3,16,71,Rams,Washington
Jack Thompson,TAM,1983,27,75,217,73.3,249,11.7,289,21,5.66,14,80,4.4,4.3,58.9,13,5,5.5,7,NA,NA,39,2,18,6.9,2906,NA,207.6,423,8.4,601,150.25,7.2,6.1,122.9,55.3,271.5,1086,4,53,13.25,49,12.25,7818,1954.5,1979,1,1,3,3,Bengals,Washington State
Jack Trudeau,IND,1986,24,75,227,53.5,204,10.9,213,18,4.51,12,84,3.05,1.9,48.9,11,4.3,3.8,2,NA,NA,29,0,8,5.3,2225,NA,185.4,417,6.5,736,184,7.1,6.5,131.4,63.9,287.75,1151,4,51,12.75,38,9.5,8146,2036.5,1986,3,2,20,47,Colts,Illinois
Jake Locker,TEN,2012,24,75,231,74,177,12.3,151,11,5.97,11,71,5.1,3.2,56.4,11,3.5,6,6,0,1,25,4,10,6.9,2176,48.07,197.8,314,7.4,619,154.75,6.7,6.2,119,53.9,287,1148,4,53,13.25,35,8.75,7639,1909.75,2011,2,1,8,8,Titans,Washington
Jake Plummer,ARI,1997,23,74,212,73.1,157,NA,291,15,5.49,10,70,4.42,5.1,53,9,5.1,6.2,7,2,2,52,3,15,7.4,2203,NA,220.3,296,14.9,613,153.25,7.8,7.6,133.8,55.4,276.75,1107,4,64,16,34,8.5,8626,2156.5,1997,2,2,12,42,Cardinals,Arizona State
JaMarcus Russell,OAK,2008,23,78,265,77.1,198,12.2,210,8,5.55,15,84,5.3,3.5,53.8,15,2.2,6.3,7,1,2,31,5,13,6.6,2423,NA,161.5,368,7.8,493,164.33,8.3,8.4,147.9,61.9,265.67,797,3,52,17.33,21,7,6625,2208.33,2007,1,1,1,1,Raiders,Louisiana State
James Harris,RAM,1974,27,76,210,85.1,106,14.6,101,6,6.87,11,50,6.63,5.6,53.5,9,3,7.5,10,2,NA,12,7,11,7.8,1544,NA,140.4,198,5.7,3,3,6.8,8.8,120.1,30,10,10,1,1,1,0,0,68,68,1969,7,8,10,192,Bills,Grambling State
Jason Campbell,WAS,2006,25,77,223,76.5,110,11.8,55,6,5.8,7,66,5.48,4.8,53.1,7,2.9,5.9,5,1,1,7,2,10,6.3,1297,NA,185.3,207,3.3,552,138,8.5,8.3,148.2,64.6,213.5,854,4,45,11.25,24,6,7299,1824.75,2005,3,1,25,25,Redskins,Auburn
Jay Cutler,DEN,2007,24,75,225,88.1,297,11.8,153,14,6.77,16,68,6.3,4.3,63.6,16,3,7,12,2,3,27,7,20,7.5,3497,NA,218.6,467,5.5,710,177.5,7,6.6,125.9,57.2,310.5,1242,4,59,14.75,36,9,8697,2174.25,2006,3,1,11,11,Broncos,Vanderbilt
Jay Schroeder,WAS,1986,25,76,215,72.9,276,NA,240,22,6.8,16,71,5.83,4.1,51,16,4.1,6.6,15,4,5,28,12,22,7.6,4109,NA,256.8,541,4.9,41,41,9.7,8.9,150.6,58.6,70,70,1,4,4,3,3,681,681,1984,4,3,27,83,Redskins,UCLA
Jeff Blake,CIN,1994,24,73,223,76.9,156,NA,120,9,6.26,10,76,5.87,4.6,51,9,2.9,6.6,7,3,2,19,3,14,7,2154,NA,215.4,306,5.8,360,90,7.7,7.6,133.9,54,166.75,667,4,43,10.75,20,5,5133,1283.25,1992,9,6,26,166,Jets,East Carolina
Jeff Hostetler,NYG,1991,30,75,215,84.1,179,11.4,100,4,6.33,12,55,6.07,1.8,62.8,12,NA,6.8,10,1,2,20,7,5,7.1,2032,NA,169.3,285,6.6,324,81,7,6.6,118.8,51.3,158,632,4,27,6.75,18,4.5,4452,1113,1984,2,3,3,59,Giants,West Virginia
Jesse Freitas,CHR,1948,27,70,170,67.9,84,17,NA,16,NA,10,0,NA,8.4,50.3,9,9.6,5.9,0,0,0,NA,NA,14,8.5,1425,NA,142.5,167,NA,14,14,7.4,4.3,96.8,48.3,29,29,1,0,0,2,2,215,215,1974,8,6,3,133,Chargers,San Diego State
Jim Everett,RAM,1987,24,77,212,68.4,162,12.7,139,13,6.03,11,81,4.83,3.3,53.6,11,4.3,5.6,8,0,1,17,5,10,6.8,2064,NA,187.6,302,5.3,572,114.4,7.7,7,131.7,59.3,193,965,5,43,8.6,33,6.6,7411,1482.2,1986,1,1,3,3,Oilers,Purdue
Jim Harbaugh,CHI,1990,27,75,215,81.9,180,12.1,206,6,5.75,14,80,5.55,3.2,57.7,14,1.9,6.8,10,1,3,31,10,10,7,2178,NA,155.6,312,9,387,96.75,8.8,8.2,145.6,62.4,155,620,4,31,7.75,22,5.5,5449,1362.25,1987,4,1,26,26,Bears,Michigan
Jim Kelly,BUF,1986,26,75,217,83.3,285,12.6,330,17,6.24,16,84,5.62,4.6,59.4,16,3.5,6.8,12,NA,NA,43,4,22,7.5,3593,NA,224.6,480,8.2,376,94,7.7,6.8,128.4,55.6,169,676,4,33,8.25,28,7,5228,1307,1983,3,1,14,14,Bills,Miami (FL)
Jim McMahon,CHI,1982,23,73,195,79.9,120,12.5,196,7,5.51,8,50,4.94,4.3,57.1,7,3.3,6.5,8,0,1,27,3,9,7.1,1501,NA,187.6,210,11.4,653,163.25,9,9.1,156.9,61.6,265,1060,4,84,21,34,8.5,9536,2384,1982,2,1,5,5,Bears,Brigham Young
Jim Miller,CHI,2001,30,74,226,74.9,228,10.1,72,10,5.49,14,66,5.02,3.3,57.7,13,2.5,5.3,7,3,3,11,11,13,5.8,2299,NA,164.2,395,NA,467,116.75,6.8,5.5,119.1,62.6,186.5,746,4,17,4.25,29,7.25,5037,1259.25,1956,17,28,5,330,Cardinals,Wisconsin
Jim Miller,CHI,2001,30,74,226,74.9,228,10.1,72,10,5.49,14,66,5.02,3.3,57.7,13,2.5,5.3,7,3,3,11,11,13,5.8,2299,NA,164.2,395,NA,467,116.75,6.8,5.5,119.1,62.6,186.5,746,4,17,4.25,29,7.25,5037,1259.25,1994,5,6,17,178,Steelers,Michigan State
Jim Ninowski,DET,1960,24,73,206,40.9,134,11.9,NA,18,NA,11,55,NA,0.7,47.3,10,6.4,2.9,6,0,1,NA,5,2,5.7,1599,NA,145.4,283,NA,58,29,8.7,8,144.7,52.7,55,110,2,10,5,6,3,955,477.5,1958,3,4,12,49,Browns,Michigan State
Jim Plunkett,NWE,1971,24,75,220,68.6,158,13.7,319,16,5.05,14,88,4.12,5.8,48.2,14,4.9,5.5,11,1,1,36,6,19,6.6,2158,NA,154.1,328,9.9,550,183.33,7.9,6.8,129.5,55.4,330.67,992,3,53,17.67,48,16,7809,2603,1971,1,1,1,1,Patriots,Stanford
Jimmy Clausen,CAR,2010,23,75,217,58.4,157,9.9,223,9,4.02,13,55,2.98,1,52.5,10,3,4.1,0,NA,NA,33,1,3,5.2,1558,11.78,119.8,299,9.9,695,231.67,7.3,7.3,137.2,62.6,370,1110,3,60,20,27,9,8148,2716,2010,3,2,16,48,Panthers,Notre Dame
Joe Ferguson,BUF,1973,23,73,195,45.8,73,12.9,164,10,4.21,14,42,2.2,2.4,44.5,14,6.1,3.5,5,2,1,20,9,4,5.7,939,NA,67.1,164,10.9,327,109,7.3,5.7,116.9,53.5,203.67,611,3,24,8,32,10.67,4431,1477,1973,5,3,5,57,Bills,Arkansas
Joe Flacco,BAL,2008,23,78,232,80.3,257,11.6,276,12,5.86,16,70,5.29,3.3,60,16,2.8,6.3,11,1,2,32,11,14,6.9,2971,43.23,185.7,428,7,1,1,2.8,2.8,48.1,25,4,4,1,0,0,0,0,11,11,2008,2,1,18,18,Ravens,Delaware
Joe Kapp,MIN,1967,29,74,215,48.2,102,13.6,NA,17,NA,13,85,NA,3.7,47.7,11,7.9,3.6,4,3,2,NA,3,8,6.5,1386,NA,106.6,214,NA,146,48.67,6.6,2.7,95.2,51,95.33,286,3,7,2.33,28,9.33,1896,632,1959,11,18,5,209,Redskins,California
Joe Montana,SFO,1980,24,74,200,87.8,176,10.2,100,9,5.89,15,71,5.52,5.5,NA,7,3.3,6.2,6,1,1,15,2,15,6.6,1795,NA,119.7,273,5.2,268,89.33,8,6.8,125.6,52,171.67,515,3,25,8.33,25,8.33,4121,1373.67,1979,4,3,26,82,49ers,Notre Dame
Joe Namath,NYJ,1965,22,74,200,68.7,164,13.5,NA,15,NA,13,62,NA,5.3,48.2,9,4.4,5.6,9,NA,NA,NA,3,18,6.5,2220,NA,170.8,340,NA,203,67.67,7.3,6.1,125.7,54.3,124.67,374,3,24,8,20,6.67,2713,904.33,1965,1,1,1,1,Jets,Alabama
Joe Namath,NYJ,1965,22,74,200,68.7,164,13.5,NA,15,NA,13,62,NA,5.3,48.2,9,4.4,5.6,9,NA,NA,NA,3,18,6.5,2220,NA,170.8,340,NA,203,67.67,7.3,6.1,125.7,54.3,124.67,374,3,24,8,20,6.67,2713,904.33,1965,3,1,12,12,Cardinals,Alabama
Joe Reed,DET,1975,27,73,195,59.3,86,13.7,119,10,5.18,10,65,3.86,4.7,45,8,5.2,4.8,6,0,1,14,4,9,6.2,1181,NA,118.1,191,6.8,182,91,5.7,3.8,96.7,48.8,186.5,373,2,13,6.5,21,10.5,2118,1059,1971,15,11,23,283,49ers,Mississippi State
Joe Theismann,WAS,1978,29,72,192,61.6,187,13.9,NA,18,5.1,16,63,3.82,3.3,47.9,14,4.6,5.2,9,2,2,42,7,13,6.6,2593,NA,162.1,390,9.7,290,96.67,8.7,6.8,136.1,57,169.67,509,3,31,10.33,35,11.67,4411,1470.33,1971,8,4,21,99,Dolphins,Notre Dame
Joey Harrington,DET,2002,24,76,220,59.9,215,10.7,75,16,5.08,14,64,3.98,2.8,50.1,12,3.7,4.2,4,2,2,8,3,12,5.3,2294,NA,163.9,429,NA,465,116.25,7.3,7.5,131.6,54.3,214,856,4,53,13.25,21,5.25,6289,1572.25,2002,2,1,3,3,Lions,Oregon
John Brodie,SFO,1960,25,73,198,57.5,103,10.8,NA,9,NA,11,65,NA,2.9,49.8,8,4.3,4,6,2,2,NA,4,6,5.4,1111,NA,101,207,NA,139,139,6.8,5.2,119.9,57.9,240,240,1,12,12,14,14,1633,1633,1957,1,1,3,3,49ers,Stanford
John Elway,DEN,1983,23,75,215,54.9,123,13.5,218,14,5.03,11,49,3.33,2.7,47.5,10,5.4,4.5,4,1,1,28,4,7,6.4,1663,NA,151.2,259,9.8,774,193.5,7.5,7.3,139.3,62.1,311.5,1246,4,77,19.25,39,9.75,9349,2337.25,1983,1,1,1,1,Colts,Stanford
John Hadl,SDG,1962,22,73,214,43.3,107,15.3,NA,24,NA,14,72,NA,5.8,41.2,10,9.2,3.3,4,NA,NA,NA,1,15,6.3,1632,NA,116.6,260,NA,99,33,6.6,4.5,108.6,48.5,68,204,3,12,4,15,5,1345,448.33,1962,3,1,10,10,Lions,Kansas
John Reaves,PHI,1972,22,75,210,58.4,108,14,322,12,4.53,11,77,3,3.1,48.2,7,5.4,4.9,5,NA,NA,38,0,7,6.7,1508,NA,137.1,224,14.5,603,201,6.7,5.3,115,53.5,376,1128,3,54,18,59,19.67,7549,2516.33,1972,2,1,14,14,Eagles,Florida
Josh Freeman,TAM,2009,21,78,240,59.8,158,11.7,102,18,5.65,10,42,3.69,3.4,54.5,9,6.2,4.3,2,2,2,20,3,10,6.4,1855,26.08,185.5,290,6.5,680,226.67,7,6.5,124.7,59.1,383.67,1151,3,44,14.67,34,11.33,8078,2692.67,2009,3,1,17,17,Buccaneers,Kansas State
Josh McCown,ARI,2004,25,76,212,74.1,233,10.8,263,10,5.12,14,48,4.6,2.7,57.1,13,2.5,5.6,7,2,2,31,6,11,6.2,2511,NA,179.4,408,7.1,340,113.33,6.1,4.6,105.3,51.2,221.33,664,3,27,9,34,11.33,4022,1340.67,2002,4,3,16,81,Cardinals,Sam Houston State
Karl Sweetan,DET,1966,24,73,203,54.3,157,11.5,NA,14,NA,10,NA,NA,1.3,50.8,8,4.5,4.1,6,1,0,NA,2,4,5.9,1809,NA,180.9,309,NA,79,79,3.1,0.3,50.9,36.2,218,218,1,1,1,14,14,674,674,1965,16,18,11,249,Lions,Wake Forest
Kellen Clemens,NYJ,2007,24,74,224,60.9,130,11.8,138,10,5.02,10,56,3.76,2,52,8,4,4.7,3,1,2,27,3,5,6.1,1529,NA,152.9,250,9.7,613,153.25,7.5,7.7,139.4,61,251.25,1005,4,61,15.25,24,6,7555,1888.75,2006,4,2,17,49,Jets,Oregon
Kelly Stouffer,SEA,1992,28,75,210,47.7,92,9.8,222,9,3.14,9,33,1.54,1.6,48.4,7,4.7,2.9,-2,NA,NA,26,2,3,4.7,900,NA,100,190,12,577,192.33,7,6.1,120.2,56.8,338.33,1015,3,36,12,38,12.67,7142,2380.67,1987,2,1,6,6,Cardinals,Colorado State
Ken Dorsey,SFO,2004,23,76,218,62.4,123,10,94,9,4.76,9,59,3.56,2.7,54.4,7,4,4.2,0,0,1,13,1,6,5.4,1231,NA,136.8,226,5.4,668,167,8.3,8.7,147.4,57.9,288.25,1153,4,86,21.5,28,7,9565,2391.25,2003,13,7,27,241,49ers,Miami (FL)
Ken Stabler,OAK,1973,28,75,215,88.3,163,12.3,261,10,5.9,14,80,5.33,5.4,NA,11,3.8,7,10,1,NA,34,8,14,7.7,1997,NA,142.6,260,11.6,180,60,7.2,5.8,128,59.4,101,303,3,18,6,18,6,2196,732,1968,5,2,25,52,Raiders,Alabama
Kerry Collins,CAR,1995,23,77,248,61.9,214,12.7,150,19,5.62,15,89,4.36,3.2,49.4,13,4.4,4.9,5,1,3,24,7,14,6.3,2717,NA,181.1,433,5.3,370,92.5,8.1,7.8,137.3,56.3,164.25,657,4,39,9.75,21,5.25,5304,1326,1995,2,1,5,5,Panthers,Penn State
Kevin Kolb,ARI,2011,27,75,218,81.1,146,13.4,219,8,6.13,9,73,5.5,3.6,57.7,9,3.2,7,5,2,1,30,3,9,7.7,1955,34.45,217.2,253,10.6,964,241,8.3,8.5,145.1,61.6,391.25,1565,4,85,21.25,31,7.75,12964,3241,2007,3,2,4,36,Eagles,Houston
King Hill,CRD,1959,23,75,212,46.2,82,12.4,NA,13,NA,11,31,NA,3.9,45.3,11,7.2,3.1,6,0,0,NA,2,7,5.6,1015,NA,92.3,181,NA,91,45.5,8.8,6.1,126.5,54.5,83.5,167,2,7,3.5,13,6.5,1467,733.5,1958,1,1,1,1,Cardinals,Rice
Kordell Stewart,PIT,1997,25,73,218,75.2,236,12.8,152,17,6.23,16,69,5.48,4.8,53.6,16,3.9,6.1,16,NA,NA,20,11,21,6.9,3020,NA,188.8,440,4.3,456,114,8.3,8,136.5,58.1,196.25,785,4,33,8.25,19,4.75,6481,1620.25,1995,4,2,28,60,Steelers,Colorado
Kyle Boller,BAL,2003,22,75,220,62.4,116,10.9,92,9,4.85,11,73,3.75,3.1,51.8,9,4,4.4,3,NA,NA,17,5,7,5.6,1260,NA,114.5,224,7.1,621,155.25,6.1,5.5,108.2,47.8,325,1300,4,64,16,48,12,7980,1995,2003,3,1,19,19,Ravens,California
Kyle Orton,CHI,2005,23,76,226,59.7,190,9.8,190,13,4.22,15,54,3.2,2.4,51.6,15,3.5,4,2,0,1,30,10,9,5.1,1869,NA,124.6,368,7.5,748,187,7.1,7.2,130.8,59.3,315.5,1262,4,61,15.25,24,6,8918,2229.5,2005,7,4,5,106,Bears,Purdue
Len Dawson,DTX,1962,27,72,190,NA,189,14.6,NA,17,NA,14,92,NA,NA,NA,14,5.5,8.3,18,0,2,NA,11,NA,NA,2759,NA,197.1,310,NA,69,69,6.6,4.2,110.8,53.1,130,130,1,7,7,10,10,856,856,1957,2,1,5,5,Steelers,Purdue
Lynn Dickey,GNB,1976,27,75,214,52.2,115,12.7,279,14,4.38,10,69,2.57,2.9,47.3,10,5.8,4,5,3,3,28,4,7,6,1465,NA,146.5,243,10.3,501,167,6.2,3.9,99.6,50.4,331.33,994,3,29,9.67,64,21.33,6208,2069.33,1971,4,3,4,56,Oilers,Kansas State
Marc Bulger,STL,2002,25,75,215,101.5,138,13.2,102,6,NA,7,58,NA,6.5,64.5,7,2.8,NA,6,2,2,12,6,14,8.5,1826,NA,260.9,214,5.3,630,157.5,8,7.6,140.9,61.6,255.75,1023,4,59,14.75,34,8.5,8153,2038.25,2000,5,6,2,168,Saints,West Virginia
Marc Wilson,OAK,1981,24,78,205,58.9,173,13.4,241,19,5.23,13,66,3.78,3.8,47.3,9,5.2,4.7,5,NA,3,30,5,14,6.3,2311,NA,177.8,366,7.6,563,187.67,8.2,7.2,137.4,57.4,326.67,980,3,63,21,49,16.33,8017,2672.33,1980,1,1,15,15,Raiders,Brigham Young
Mark Brunell,JAX,1995,25,73,217,82.6,201,10.8,238,7,5.01,13,45,4.97,4.3,58.1,10,2,6.2,9,2,2,39,3,15,6.3,2168,NA,166.8,346,10.1,259,64.75,6.9,6.4,118.6,52,124.5,498,4,23,5.75,16,4,3423,855.75,1993,4,5,6,118,Packers,Washington
Mark Malone,PIT,1984,26,76,223,73.4,147,NA,211,17,6.48,13,61,4.99,5.9,54,9,6.3,6.2,8,1,3,25,6,16,7.9,2137,NA,164.4,272,8.4,255,85,6.5,5,107.6,49,173.33,520,3,23,7.67,28,9.33,3388,1129.33,1980,2,1,28,28,Steelers,Arizona State
Mark Rypien,WAS,1989,27,76,231,88.1,280,13.5,108,13,7.44,14,80,7.14,4.6,58.8,14,2.7,7.6,12,3,3,16,9,22,7.9,3768,NA,269.1,476,3.3,326,81.5,7.5,6.2,121.5,53.2,153.25,613,4,28,7,29,7.25,4573,1143.25,1986,8,6,8,146,Redskins,Washington State
Mark Sanchez,NYJ,2009,23,74,225,63,196,12.5,195,20,5.77,15,65,4.07,3.3,53.8,15,5.5,4.9,6,1,1,26,8,12,6.7,2444,31.64,162.9,364,6.7,313,104.33,8.1,8.3,153.9,64.3,162.33,487,3,41,13.67,16,5.33,3965,1321.67,2009,2,1,5,5,Jets,USC
Matt Cassel,NWE,2008,26,77,230,89.4,327,11.3,219,11,6.17,16,76,6.04,4.1,63.4,15,2.1,7,17,2,2,NA,10,21,7.2,3693,63.15,230.8,516,8.3,20,5,5.8,4.5,103.4,60.6,8.25,33,4,0,0,1,0.25,192,48,2005,13,7,16,230,Patriots,USC
Matt Cavanaugh,NWE,1981,25,74,212,59.8,115,14.2,165,13,6.04,16,65,4.05,2.3,52.5,8,5.9,5.2,5,NA,NA,24,1,5,7.5,1633,NA,102.1,219,9.9,205,68.33,9.3,9.1,154.4,56.6,120.67,362,3,31,10.33,16,5.33,3378,1126,1978,2,2,22,50,Patriots,Pittsburgh
Matt Hasselbeck,SEA,2001,26,76,223,70.9,176,11.5,251,8,4.94,13,64,4.32,2.2,54.8,12,2.5,5.6,7,0,2,38,5,7,6.3,2023,NA,155.6,321,10.6,390,97.5,6.5,5.4,113.1,55.6,175.25,701,4,22,5.5,26,6.5,4548,1137,1998,7,6,34,187,Packers,Boston College
Matt Leinart,ARI,2006,23,77,225,74,214,11.9,158,12,6,12,58,5.2,2.9,56.8,11,3.2,5.9,8,1,1,21,4,11,6.8,2547,NA,212.3,377,5.3,807,269,8.6,9.3,159.5,64.8,415,1245,3,99,33,23,7.67,10693,3564.33,2006,2,1,10,10,Cardinals,USC
Matt Robinson,NYJ,1978,23,74,196,63.5,124,NA,228,16,6.03,16,77,4.47,4.9,46.6,11,6,5.8,10,1,1,28,6,13,7.5,2002,NA,125.1,266,9.5,125,41.67,8.4,6.3,121.9,45.6,91.33,274,3,17,5.67,20,6.67,2295,765,1977,13,9,4,227,Jets,Georgia
Matt Ryan,ATL,2008,23,77,224,87.7,265,13,104,11,7.4,16,70,7.01,3.7,61.1,16,2.5,7.5,14,2,4,17,11,16,7.9,3440,74.09,215,434,3.8,807,201.75,6.9,6.5,126.3,60,336.5,1346,4,56,14,37,9.25,9313,2328.25,2008,1,1,3,3,Falcons,Boston College
Matt Schaub,HOU,2007,26,77,235,87.2,192,11.7,126,9,6.93,11,77,6.2,3.1,66.4,11,3.1,7,8,1,1,16,4,9,7.8,2241,NA,203.7,289,5.2,716,179,7,7,138.4,67,267.25,1069,4,56,14,26,6.5,7502,1875.5,2004,5,3,27,90,Falcons,Virginia
Matthew Stafford,DET,2009,21,74,230,61,201,11.3,169,20,5.23,10,75,3.64,3.4,53.3,10,5.3,4.3,3,1,1,24,2,13,6,2267,30,226.7,377,6,564,188,7.8,7.4,133.3,57.1,329,987,3,51,17,33,11,7731,2577,2009,1,1,1,1,Lions,Georgia
Michael Vick,ATL,2002,22,72,215,81.6,231,12.7,206,8,6.01,15,74,5.93,3.8,54.9,15,1.9,6.9,17,2,2,33,8,16,7,2936,NA,195.7,421,7.3,192,96,9.6,9.4,150.6,56,171.5,343,2,21,10.5,11,5.5,3299,1649.5,2001,1,1,1,1,Falcons,Virginia Tech
Mike Boryla,PHI,1976,25,75,200,53.4,123,10.1,235,14,3.68,11,48,2.04,3.7,50,10,5.7,3.2,3,1,1,29,3,9,5.1,1247,NA,113.4,246,10.5,337,112.33,6.4,5.2,113.1,52.9,212.33,637,3,31,10.33,30,10,4062,1354,1974,6,4,9,87,Bengals,Stanford
Mike Livingston,KAN,1973,28,76,212,65.2,75,12.2,124,7,4.92,8,48,3.71,4.1,51.7,8,4.8,5,4,NA,NA,16,4,6,6.3,916,NA,114.5,145,9.9,207,69,6.6,4.9,114.1,55.9,123.33,370,3,16,5.33,21,7,2432,810.67,1968,4,2,21,48,Chiefs,Southern Methodist
Mike McMahon,PHI,2005,26,74,215,55.2,94,12.3,96,8,4.7,9,48,3.55,2.4,45.4,7,3.9,4.3,1,2,2,19,2,5,5.6,1158,NA,128.7,207,8.4,482,120.5,6.8,5.2,109.7,49.5,243.5,974,4,41,10.25,52,13,6608,1652,2001,8,5,18,149,Lions,Rutgers
Mike Pagel,BAL,1982,22,74,206,62.4,111,11.5,129,7,4.86,9,53,3.95,2.3,50.2,9,3.2,4.8,6,1,0,16,0,5,5.8,1281,NA,142.3,221,6.8,405,101.25,6.6,6.2,121.8,51.5,196.5,786,4,54,13.5,31,7.75,5196,1299,1982,5,4,1,84,Colts,Arizona State
Mike Phipps,CLE,1972,25,75,208,61,144,13.8,183,16,5.52,14,80,4.12,4.3,47.2,13,5.2,5,11,NA,NA,23,10,13,6.5,1994,NA,142.4,305,7,375,125,7.4,6.3,120.7,51.2,244.33,733,3,37,12.33,34,11.33,5423,1807.67,1970,2,1,3,3,Browns,Purdue
Mike Taliaferro,BOS,1968,27,74,202,26.9,67,13.3,NA,15,NA,7,70,NA,2.3,38.1,7,8.5,1.7,-1,NA,NA,NA,3,4,5.1,889,NA,127,176,NA,117,29.25,5.3,1.8,73.3,38.7,75.5,302,4,7,1.75,27,6.75,1612,403,1963,6,10,12,138,Giants,Illinois
Milt Plum,CLE,1958,23,73,205,77.9,102,15.9,NA,11,NA,12,74,NA,5.8,54,12,5.8,7.1,9,NA,NA,NA,9,11,8.6,1619,NA,134.9,189,NA,40,40,9,6.4,136.7,53.3,75,75,1,6,6,7,7,675,675,1957,3,2,4,17,Browns,Penn State
