name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,draft_Team,draft_College
Bob Berry,ATL,1968,26,71,185,65.1,81,17.7,NA,13,NA,10,66,NA,4.6,52.9,7,8.5,6.5,6,1,1,NA,1,7,9.4,1433,NA,143.3,153,NA,108,108,7.1,6.4,125.8,51.9,208,208,1,15,15,10,10,1478,1478,1964,13,11,2,142,Eagles,Oregon
Bob Williams,CHI,1952,22,73,197,72,45,12.9,NA,5,NA,11,56,NA,6.9,51.7,7,5.7,5.4,7,0,0,NA,3,6,6.7,579,NA,52.6,87,NA,95,31.67,5.4,2.2,88,47,67.33,202,3,8,2.67,18,6,1100,366.67,1951,1,1,2,2,Bears,Notre Dame
Bobby Douglass,CHI,1969,22,76,225,50.9,68,11.4,312,8,2.49,11,48,1.09,3.4,45.9,7,5.4,3.5,6,NA,NA,37,1,5,5.2,773,NA,70.3,148,20,183,61,7.4,6.1,117.6,48.3,126.33,379,3,20,6.67,20,6.67,2817,939,1969,4,2,15,41,Bears,Kansas
Bobby Hoying,PHI,1998,26,75,221,45.6,114,8.4,185,9,3,8,38,1.43,0,50.9,7,4,2.5,-2,1,1,35,1,0,4.3,961,NA,120.1,224,13.5,498,124.5,8.4,7.9,142.6,58,214.5,858,4,57,14.25,35,8.75,7232,1808,1996,2,3,24,85,Eagles,Ohio State
Bobby Scott,NOR,1976,27,73,201,64.5,103,10.3,162,6,4.22,11,60,3.33,2.1,54.2,8,3.2,4.6,4,1,1,24,2,4,5.6,1065,NA,96.8,190,11.2,236,78.67,6.8,5.6,113.7,47.4,166,498,3,30,10,26,8.67,3371,1123.67,1971,21,14,2,340,Saints,Tennessee
Boomer Esiason,CIN,1985,24,77,224,93.2,251,13.7,289,12,6.81,15,68,6.81,NA,58.2,14,2.8,8,14,1,1,32,7,27,8,3443,NA,229.5,431,6.9,461,153.67,7.4,6.9,126,54.2,283.33,850,3,42,14,27,9,6259,2086.33,1984,1,2,10,38,Bengals,Maryland
Brad Johnson,MIN,1996,28,77,226,89.4,195,11.6,119,10,6.56,12,82,6.22,5.5,62.7,8,3.2,6.9,7,2,3,15,5,17,7.3,2258,NA,188.2,311,4.6,161,40.25,7,6.5,134.9,64.7,62.25,249,4,14,3.5,9,2.25,1746,436.5,1992,14,9,3,227,Vikings,Florida State
Brady Quinn,CLE,2009,25,76,232,67.2,136,9.8,104,7,4.49,10,59,3.93,3.1,53.1,9,2.7,4.6,2,0,1,19,2,8,5.2,1339,33.37,133.9,256,6.9,929,232.25,7.3,7.4,134.4,58,400.5,1602,4,95,23.75,39,9.75,11762,2940.5,2007,2,1,22,22,Browns,Notre Dame
Brandon Weeden,CLE,2012,29,76,221,72.6,297,11.4,186,17,5.87,15,71,4.98,2.7,57.4,15,3.3,5.6,8,1,1,28,5,14,6.5,3385,26.6,225.7,517,5.1,766,191.5,8.4,8.7,157.7,69.5,275.5,1102,4,75,18.75,27,6.75,9260,2315,2012,4,1,22,22,Browns,Oklahoma State
Brett Favre,GNB,1992,23,74,225,85.3,302,10.7,208,13,5.98,15,76,5.53,3.8,64.1,13,2.8,6.4,12,3,3,34,8,18,6.9,3227,NA,215.1,471,6.7,613,153.25,6.6,6.2,116.6,52.4,292.25,1169,4,52,13,34,8.5,7695,1923.75,1991,3,2,6,33,Falcons,Southern Mississippi
