age,height,weight,wins,tds,c_numyrs,year,c_avg_cmpp,c_avg_att,c_numyrs,c_avg_tds,c_avg_inter,c_avg_yds
27,74,206,1,4,4,1998,216.5,345,4,18.5,9.5,2727.75
22,77,245,3,2,3,1998,157.67,293.33,3,19.67,8,2477.67
26,75,221,1,0,4,1998,124.5,214.5,4,14.25,8.75,1808
25,73,218,11,21,4,1997,114,196.25,4,8.25,4.75,1620.25
23,74,212,3,15,4,1997,153.25,276.75,4,16,8.5,2156.5
26,76,225,5,12,4,1997,114.25,177.75,4,9.25,5,1464.5
24,75,218,7,11,4,1997,132.25,212.75,4,14.25,6.5,1593
26,77,220,0,6,3,1997,100,197,3,9,6.67,1265.67
28,77,226,5,17,4,1996,40.25,62.25,4,3.5,2.25,436.5
35,76,210,1,15,3,1996,44,70,3,3.33,2.33,568
23,76,230,5,15,2,1996,150.5,248,2,10,10.5,2064.5
29,72,189,7,15,4,1996,250,397.25,4,30.75,16.75,3901.75
33,76,215,13,21,3,1995,51.67,94.33,3,3.33,3.67,625
25,73,217,3,15,4,1995,64.75,124.5,4,5.75,4,855.75
23,77,248,7,14,4,1995,92.5,164.25,4,9.75,5.25,1326
24,75,237,3,13,4,1995,108,215,4,8,9.5,1370
23,76,225,7,4,3,1995,170.33,288.33,3,17.67,7.33,2543.67
24,73,223,3,14,4,1994,90,166.75,4,10.75,5,1283.25
23,74,216,1,10,3,1994,105.33,171,3,12,4,1363
24,74,209,5,18,3,1993,131.33,234.33,3,13.33,7,1892.33
21,77,238,5,15,3,1993,177.33,326.33,3,15.33,11.33,2457.67
23,75,210,6,12,4,1993,94.25,174.5,4,10.25,5.75,1499.25
25,78,240,3,12,3,1993,223,388.33,3,23,12.67,2993.67
24,75,210,3,6,4,1993,181.5,315.25,4,22.75,9.5,2357.5
23,74,225,8,18,4,1992,153.25,292.25,4,13,8.5,1923.75
24,75,225,3,7,3,1992,111,199.33,3,10.67,7,1551
23,76,215,3,5,2,1992,207.5,337,2,14.5,12.5,2500.5
