name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds
Craig Morton,DAL,1969,26,76,214,85.4,162,-999,246,15,-999,13,67,-999,7,53.6,13,5,-999,12,2,2,30,10,21,-999,2619,-999,201.5,302,9,355,118.33,7,6,123.2,55.4,213.67,641,3,36,12,31,10.33,4501,1500.33
Bobby Douglass,CHI,1969,22,76,225,50.9,68,11.4,312,8,2.49,11,48,1.09,3.4,45.9,7,5.4,3.5,6,-999,-999,37,1,5,5.2,773,-999,70.3,148,20,183,61,7.4,6.1,117.6,48.3,126.33,379,3,20,6.67,20,6.67,2817,939
Dick Shiner,PIT,1968,26,72,201,64.5,148,12.5,-999,17,-999,13,61,-999,5.9,48.7,11,5.6,4.8,7,-999,-999,-999,2,18,6.1,1856,-999,142.8,304,-999,287,95.67,6.4,4.2,106.9,53.5,178.67,536,3,21,7,35,11.67,3410,1136.67
Tom Sherman,BOS,1968,23,72,190,45.6,90,13.3,-999,16,-999,14,87,-999,5.3,39.8,7,7.1,3.2,1,-999,-999,-999,1,12,5.3,1199,-999,85.6,226,-999,163,54.33,7.5,6.7,119.6,47,115.67,347,3,19,6.33,14,4.67,2588,862.67
Bob Berry,ATL,1968,26,71,185,65.1,81,17.7,-999,13,-999,10,66,-999,4.6,52.9,7,8.5,6.5,6,1,1,-999,1,7,9.4,1433,-999,143.3,153,-999,108,108,7.1,6.4,125.8,51.9,208,208,1,15,15,10,10,1478,1478
Mike Taliaferro,BOS,1968,27,74,202,26.9,67,13.3,-999,15,-999,7,70,-999,2.3,38.1,7,8.5,1.7,-1,-999,-999,-999,3,4,5.1,889,-999,127,176,-999,117,29.25,5.3,1.8,73.3,38.7,75.5,302,4,7,1.75,27,6.75,1612,403
Jim Hart,STL,1967,23,73,215,58.4,192,15.7,-999,-999,-999,14,76,-999,4.8,48.4,14,7.6,5.1,11,2,2,-999,6,19,7.6,3008,-999,214.9,397,-999,244,81.33,5.2,3.2,90.2,49,166,498,3,13,4.33,28,9.33,2600,866.67
Pete Beathard,2TM,1967,25,73,200,43.8,94,11.9,-999,14,-999,11,43,-999,3.9,40.7,9,6.1,2.9,3,-999,-999,-999,7,9,4.8,1114,-999,101.3,231,-999,160,53.33,7.2,6.2,117.8,48.5,110,330,3,18,6,15,5,2374,791.33
Joe Kapp,MIN,1967,29,74,215,48.2,102,13.6,-999,17,-999,13,85,-999,3.7,47.7,11,7.9,3.6,4,3,2,-999,3,8,6.5,1386,-999,106.6,214,-999,146,48.67,6.6,2.7,95.2,51,95.33,286,3,7,2.33,28,9.33,1896,632
Kent Nix,PIT,1967,23,74,195,49.5,136,11.7,-999,19,-999,12,66,-999,3,50.7,9,7.1,3.3,4,-999,-999,-999,3,8,5.9,1587,-999,132.3,268,-999,119,39.67,5.5,0.8,79.7,44.6,89,267,3,11,3.67,33,11,1471,490.33
Gary Cuozzo,NOR,1967,26,72,195,59.8,134,11.7,-999,12,-999,13,49,-999,2.7,51.5,10,4.6,4.5,5,-999,-999,-999,3,7,6,1562,-999,120.2,260,-999,180,60,5.1,3.3,91.3,47.7,125.67,377,3,14,4.67,21,7,1904,634.67
Daryle Lamonica,OAK,1967,26,75,215,80.8,220,14.7,-999,20,-999,14,72,-999,-999,51.8,14,-999,6.9,16,1,1,-999,13,-999,7.6,3228,-999,230.6,425,-999,99,33,6.5,3.8,98.5,46.9,70.33,211,3,8,2.67,16,5.33,1363,454.33
Karl Sweetan,DET,1966,24,73,203,54.3,157,11.5,-999,14,-999,10,-999,-999,1.3,50.8,8,4.5,4.1,6,1,0,-999,2,4,5.9,1809,-999,180.9,309,-999,79,79,3.1,0.3,50.9,36.2,218,218,1,1,1,14,14,674,674
Joe Namath,NYJ,1965,22,74,200,68.7,164,13.5,-999,15,-999,13,62,-999,5.3,48.2,9,4.4,5.6,9,-999,-999,-999,3,18,6.5,2220,-999,170.8,340,-999,203,67.67,7.3,6.1,125.7,54.3,124.67,374,3,24,8,20,6.67,2713,904.33
Bill Nelsen,PIT,1965,24,72,195,52.7,121,15.8,-999,17,-999,12,87,-999,3,44.8,12,6.3,4.9,5,-999,-999,-999,2,8,7.1,1917,-999,159.8,270,-999,104,34.67,7.6,7,120,43.7,79.33,238,3,15,5,10,3.33,1811,603.67
Charley Johnson,STL,1962,24,73,200,65.9,150,16.3,-999,20,-999,11,86,-999,5.2,48.7,10,6.5,6,9,1,0,-999,3,16,7.9,2440,-999,221.8,308,-999,109,109,7.6,7.5,134.1,54.8,199,199,1,13,13,6,6,1511,1511
Don Meredith,DAL,1962,24,75,210,84.2,105,16,-999,8,-999,13,69,-999,7.1,49.5,9,3.8,7.6,9,-999,-999,-999,3,15,7.9,1679,-999,129.2,212,-999,241,80.33,7.9,6.6,136.8,61,131.67,395,3,25,8.33,23,7.67,3130,1043.33
John Hadl,SDG,1962,22,73,214,43.3,107,15.3,-999,24,-999,14,72,-999,5.8,41.2,10,9.2,3.3,4,-999,-999,-999,1,15,6.3,1632,-999,116.6,260,-999,99,33,6.6,4.5,108.6,48.5,68,204,3,12,4,15,5,1345,448.33
Frank Ryan,CLE,1962,26,75,199,85.4,112,13.8,-999,7,-999,11,65,-999,5.2,57.7,7,3.6,7.4,10,1,0,-999,3,10,7.9,1541,-999,140.1,194,-999,81,40.5,7,5.3,121.1,56.6,71.5,143,2,8,4,9,4.5,997,498.5
Warren Rabb,BUF,1962,25,75,204,47.7,67,17.9,-999,14,-999,14,76,-999,5.6,37.9,7,7.9,4.3,4,1,1,-999,5,10,6.8,1196,-999,85.4,177,-999,86,28.67,5.6,3.9,101,47,61,183,3,11,3.67,12,4,1030,343.33
Billy Kilmer,SFO,1962,23,72,204,91.5,8,23.9,-999,3,-999,12,73,-999,7.7,61.5,10,23.1,5.8,7,-999,-999,-999,-999,1,14.7,191,-999,15.9,13,-999,109,36.33,7.4,6.3,113.9,42.7,85,255,3,15,5,13,4.33,1881,627
Len Dawson,DTX,1962,27,72,190,-999,189,14.6,-999,17,-999,14,92,-999,-999,-999,14,5.5,8.3,18,0,2,-999,11,-999,-999,2759,-999,197.1,310,-999,69,69,6.6,4.2,110.8,53.1,130,130,1,7,7,10,10,856,856
Fran Tarkenton,MIN,1961,21,72,190,74.7,157,12.7,-999,17,-999,14,71,-999,6.4,56.1,10,6.1,5.7,11,-999,-999,-999,2,18,7.1,1997,-999,142.6,280,-999,186,62,6.6,4.9,120.4,58.7,105.67,317,3,18,6,20,6.67,2100,700
Norm Snead,WAS,1961,22,76,215,51.6,172,13.6,-999,22,-999,14,80,-999,2.9,45.9,14,5.9,4.2,6,0,0,-999,1,11,6.2,2337,-999,166.9,375,-999,272,90.67,6.7,4.1,100.9,45.3,200.33,601,3,27,9,47,15.67,4040,1346.67
Sonny Jurgensen,PHI,1961,27,71,202,88.1,-999,15.8,-999,-999,-999,14,69,-999,7.7,56.5,14,5.8,7.9,16,-999,3,-999,10,-999,8.9,-999,-999,-999,416,-999,28,28,6.3,2.4,91.1,47.5,59,59,1,2,2,6,6,371,371
John Brodie,SFO,1960,25,73,198,57.5,103,10.8,-999,9,-999,11,65,-999,2.9,49.8,8,4.3,4,6,2,2,-999,4,6,5.4,1111,-999,101,207,-999,139,139,6.8,5.2,119.9,57.9,240,240,1,12,12,14,14,1633,1633
Jim Ninowski,DET,1960,24,73,206,40.9,134,11.9,-999,18,-999,11,55,-999,0.7,47.3,10,6.4,2.9,6,0,1,-999,5,2,5.7,1599,-999,145.4,283,-999,58,29,8.7,8,144.7,52.7,55,110,2,10,5,6,3,955,477.5
King Hill,CRD,1959,23,75,212,46.2,82,12.4,-999,13,-999,11,31,-999,3.9,45.3,11,7.2,3.1,6,0,0,-999,2,7,5.6,1015,-999,92.3,181,-999,91,45.5,8.8,6.1,126.5,54.5,83.5,167,2,7,3.5,13,6.5,1467,733.5
Milt Plum,CLE,1958,23,73,205,77.9,102,15.9,-999,11,-999,12,74,-999,5.8,54,12,5.8,7.1,9,-999,-999,-999,9,11,8.6,1619,-999,134.9,189,-999,40,40,9,6.4,136.7,53.3,75,75,1,6,6,7,7,675,675
Bob Williams,CHI,1952,22,73,197,72,45,12.9,-999,5,-999,11,56,-999,6.9,51.7,7,5.7,5.4,7,0,0,-999,3,6,6.7,579,-999,52.6,87,-999,95,31.67,5.4,2.2,88,47,67.33,202,3,8,2.67,18,6,1100,366.67
Jesse Freitas,CHR,1948,27,70,170,67.9,84,17,-999,16,-999,10,0,-999,8.4,50.3,9,9.6,5.9,0,0,0,-999,-999,14,8.5,1425,-999,142.5,167,-999,14,14,7.4,4.3,96.8,48.3,29,29,1,0,0,2,2,215,215
