name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds
Steve Dils,MIN,1983,28,73,190,66.8,239,11.9,254,16,5.38,16,68,4.34,2.5,53.8,12,3.6,5.3,8,1,3,37,5,11,6.4,2840,-999,177.5,444,7.7,291,145.5,7.6,7.1,138.3,63.1,230.5,461,2,26,13,16,8,3488,1744
John Elway,DEN,1983,23,75,215,54.9,123,13.5,218,14,5.03,11,49,3.33,2.7,47.5,10,5.4,4.5,4,1,1,28,4,7,6.4,1663,-999,151.2,259,9.8,774,193.5,7.5,7.3,139.3,62.1,311.5,1246,4,77,19.25,39,9.75,9349,2337.25
Gifford Nielsen,HOU,1983,29,76,205,62.2,90,12.5,163,8,4.88,7,48,3.56,2.9,51.4,7,4.6,4.9,3,-999,-999,22,0,5,6.4,1125,-999,160.7,175,11.2,98,49,7.5,8.7,155.7,62.8,78,156,2,16,8,3,1.5,1167,583.5
Jim McMahon,CHI,1982,23,73,195,79.9,120,12.5,196,7,5.51,8,50,4.94,4.3,57.1,7,3.3,6.5,8,0,1,27,3,9,7.1,1501,-999,187.6,210,11.4,653,163.25,9,9.1,156.9,61.6,265,1060,4,84,21,34,8.5,9536,2384
Mike Pagel,BAL,1982,22,74,206,62.4,111,11.5,129,7,4.86,9,53,3.95,2.3,50.2,9,3.2,4.8,6,1,0,16,0,5,5.8,1281,-999,142.3,221,6.8,405,101.25,6.6,6.2,121.8,51.5,196.5,786,4,54,13.5,31,7.75,5196,1299
Eric Hipple,DET,1981,24,74,196,73.4,140,-999,208,15,7.03,16,94,5.74,5,50.2,10,5.4,7,10,2,2,27,6,14,-999,2358,-999,147.4,279,8.8,385,128.33,7.6,6.5,124.9,55.1,233,699,3,32,10.67,32,10.67,5313,1771
Marc Wilson,OAK,1981,24,78,205,58.9,173,13.4,241,19,5.23,13,66,3.78,3.8,47.3,9,5.2,4.7,5,-999,3,30,5,14,6.3,2311,-999,177.8,366,7.6,563,187.67,8.2,7.2,137.4,57.4,326.67,980,3,63,21,49,16.33,8017,2672.33
Matt Cavanaugh,NWE,1981,25,74,212,59.8,115,14.2,165,13,6.04,16,65,4.05,2.3,52.5,8,5.9,5.2,5,-999,-999,24,1,5,7.5,1633,-999,102.1,219,9.9,205,68.33,9.3,9.1,154.4,56.6,120.67,362,3,31,10.33,16,5.33,3378,1126
Vince Ferragamo,RAM,1980,26,75,212,89.7,240,13.3,191,19,7.04,16,74,6.45,-999,59.4,15,4.7,7.3,11,0,0,23,11,30,7.9,3199,-999,199.9,404,5.4,362,90.5,7.6,6.7,130.5,54.4,166.25,665,4,45,11.25,34,8.5,5061,1265.25
Danny White,DAL,1980,28,74,193,80.7,260,12.6,252,25,6.51,16,58,5.3,6.4,59.6,16,5.7,6.2,14,2,2,30,12,28,7.5,3287,-999,205.4,436,6.4,345,115,9.1,8.5,148.8,53.2,216.33,649,3,59,19.67,36,12,5932,1977.33
